House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
4,Virgocrack Road,Simon,Wilkinson,8,Son,NA,Male,Student,None,NA
4,Virgocrack Road,Ellie,Wilkinson,7,Daughter,NA,Female,Student,None,NA
4,Virgocrack Road,Sara,Wilkinson,5,Daughter,NA,Female,Student,None,NA
5,Virgocrack Road,Kerry,Smith,32,Head,Single,Female,Telecommunications researcher,None,Muslim
5,Virgocrack Road,Tracy,Smith,5,Daughter,NA,Female,Student,None,NA
5,Virgocrack Road,Debra,Smith,3,Daughter,NA,Female,Child,None,NA
5,Virgocrack Road,Lee,Smith,1,Son,NA,Male,Child,None,NA
5,Virgocrack Road,Kyle,Clarke,36,Lodger,Single,Male,"Sales professional, IT",None,None
5,Virgocrack Road,Michael,Davies,31,Lodger,Single,Male,Veterinary surgeon,None,Christian
6,Virgocrack Road,Vincent,Smith,30,Head,Married,Male,Retail merchandiser,None,None
6,Virgocrack Road,Irene,Smith,26,Wife,Married,Female,"Designer, graphic",None,None
6,Virgocrack Road,Alison,Smith,10,Daughter,NA,Female,Student,None,NA
7,Virgocrack Road,Gregory,O'Sullivan-Allen,49,Head,Divorced,Male,Insurance account manager,None,Catholic
7,Virgocrack Road,James,O'Sullivan-Allen,11,Son,NA,Male,Student,None,NA
7,Virgocrack Road,Russell,O'Sullivan-Allen,8,Son,NA,Male,Student,None,NA
7,Virgocrack Road,Paula,O'Sullivan-Allen,8,Daughter,NA,Female,Student,None,NA
8,Virgocrack Road,Maureen,Marshall,56,Head,Single,Female,International aid/development worker,None,Sith
8,Virgocrack Road,Marc,Gardiner,57,Partner,Single,Male,Records manager,None,Sith
8,Virgocrack Road,Nicole,Marshall,14,Daughter,NA,Female,Student,None,NA
8,Virgocrack Road,Christian,Marshall,12,Son,NA,Male,Student,None,NA
8,Virgocrack Road,Frank,Marshall,8,Son,NA,Male,Student,None,NA
9,Virgocrack Road,Katherine,Savage,33,Head,Married,Female,Broadcast engineer,None,Catholic
9,Virgocrack Road,Dale,Savage,37,Husband,Married,Male,Forensic psychologist,None,Catholic
9,Virgocrack Road,Julian,Savage,8,Son,NA,Male,Student,None,NA
9,Virgocrack Road,Toby,Savage,8,Son,NA,Male,Student,None,NA
10,Virgocrack Road,Jemma,Austin,39,Head,Single,Female,Pensions consultant,None,None
10,Virgocrack Road,Andrew,Dawson,44,Partner,Single,Male,Acupuncturist,None,None
10,Virgocrack Road,Emily,Austin,8,Daughter,NA,Female,Student,None,NA
10,Virgocrack Road,Derek,Black,5,Son,NA,Male,Student,None,NA
11,Virgocrack Road,Julia,Bartlett,37,Head,Divorced,Female,Graphic designer,None,Christian
11,Virgocrack Road,Louise,Bartlett,2,Daughter,NA,Female,Child,None,NA
11,Virgocrack Road,Russell,Davies,33,Cousin,Single,Male,Geophysicist/field seismologist,None,None
12,Virgocrack Road,Tina,Turner,21,Head,Married,Female,University Student,None,Methodist
12,Virgocrack Road,Jake,Turner,26,Husband,Married,Male,Theme park manager,None,Methodist
12,Virgocrack Road,Gary,Williams,21,Lodger,Divorced,Male,University Student,None,Methodist
12,Virgocrack Road,Mark,Wall,64,Lodger,Single,Male,Product designer,None,Christian
13,Virgocrack Road,Daniel,Baxter,55,Head,Single,Male,"Presenter, broadcasting",None,Methodist
14,Virgocrack Road,Marilyn,Pollard,68,Head,Married,Female,Retired Merchant navy officer,None,Catholic
14,Virgocrack Road,Jake,Pollard,66,Husband,Married,Male,"Journalist, magazine",None,Catholic
15,Virgocrack Road,Frederick,Bailey,47,Head,Single,Male,Recycling officer,None,Christian
15,Virgocrack Road,Sarah,Evans,45,Partner,Single,Female,Garment/textile technologist,None,Christian
15,Virgocrack Road,Dorothy,Bailey,10,Daughter,NA,Female,Student,None,NA
16,Virgocrack Road,Katy,Edwards-Sharp,38,Head,Married,Female,Private music teacher,None,None
16,Virgocrack Road,Simon,Edwards-Sharp,42,Husband,Married,Male,Engineering geologist,Unknown Infection,None
16,Virgocrack Road,Terry,Kelly,61,Sibling,Single,Male,IT sales professional,None,Christian
16,Virgocrack Road,Nicholas,Charlton,18,Lodger,Divorced,Male,Student,None,NA
16,Virgocrack Road,Victoria,Jones,29,Lodger,Divorced,Female,Chief Marketing Officer,None,Christian
16,Virgocrack Road,Molly,Whittaker,24,Lodger,Divorced,Female,Hydrologist,None,Christian
17,Virgocrack Road,Tracey,Fisher,68,Head,Married,Female,"Retired Buyer, retail",None,Christian
17,Virgocrack Road,Roy,Fisher,69,Husband,Married,Male,Retired Naval architect,None,Christian
17,Virgocrack Road,Raymond,Fisher,21,Son,Divorced,Male,University Student,None,None
17,Virgocrack Road,Trevor,Fisher,15,Son,NA,Male,Student,None,NA
18,Virgocrack Road,Gillian,Clarke,58,Head,Single,Female,"Engineer, control and instrumentation",None,Christian
18,Virgocrack Road,Graeme,Martin,57,None,Single,Male,"Engineer, control and instrumentation",None,Methodist
18,Virgocrack Road,Gavin,Barker,39,None,Single,Male,Automotive engineer,None,Catholic
18,Virgocrack Road,Robert,McLean,23,None,Single,Male,Water quality scientist,None,None
19,Virgocrack Road,Lorraine,Greenwood,65,Head,Married,Female,Ship broker,None,Christian
19,Virgocrack Road,Joshua,Greenwood,66,Husband,Married,Male,Health and safety adviser,None,None
19,Virgocrack Road,Wayne,Greenwood,42,Son,Single,Male,Hospital pharmacist,None,None
19,Virgocrack Road,Naomi,Greenwood,42,Daughter,Single,Female,"Scientist, physiological",None,None
20,Virgocrack Road,Emma,Richardson,70,Head,Divorced,Female,Retired Management consultant,None,Jewish
20,Virgocrack Road,Julian,Richardson,31,Son,Single,Male,Textile designer,None,Jewish
21,Virgocrack Road,Ruth,Pollard,53,Head,Single,Female,Midwife,None,Christian
21,Virgocrack Road,Sylvia,Ellis,28,None,Single,Female,Translator,None,Christian
21,Virgocrack Road,Barbara,Cole,58,None,Widowed,Female,Homeopath,None,Christian
21,Virgocrack Road,Geoffrey,Jackson,54,None,Single,Male,"Therapist, drama",None,Christian
22,Virgocrack Road,Guy,Smith,20,Head,Single,Male,"Scientist, marine",None,Christian
22,Virgocrack Road,Lucy,Smith,55,None,Single,Female,Advertising art director,None,None
22,Virgocrack Road,Brandon,Evans,59,None,Single,Male,Maintenance engineer,None,None
22,Virgocrack Road,Gavin,Holden,51,None,Single,Male,"Lecturer, higher education",None,Christian
23,Virgocrack Road,Eleanor,Harper,59,Head,Married,Female,"Designer, blown glass/stained glass",None,Christian
23,Virgocrack Road,Jeffrey,Harper,60,Husband,Married,Male,"Surveyor, insurance",None,Christian
23,Virgocrack Road,Owen,Harper,41,Son,Divorced,Male,Probation officer,None,Christian
23,Virgocrack Road,Lauren,Harper,37,Daughter,Single,Female,Academic librarian,None,Christian
23,Virgocrack Road,Ross,Harper,37,Son,Single,Male,Insurance broker,None,Christian
23,Virgocrack Road,Suzanne,Harper,35,Daughter,Single,Female,Unemployed,None,Christian
23,Virgocrack Road,Jay,Harper,34,Son,Single,Male,Archaeologist,None,None
24,Virgocrack Road,Adam,Turner,70,Head,Widowed,Male,Retired Medical illustrator,None,Christian
25,Virgocrack Road,Paige,Spencer,73,Head,Widowed,Female,Retired Trading standards officer,None,Christian
25,Virgocrack Road,Joanna,Spencer,41,Daughter,Single,Female,Quantity surveyor,None,Christian
25,Virgocrack Road,Pamela,Spencer,40,Daughter,Single,Female,Event organiser,None,None
26,Virgocrack Road,Gerald,Burton,60,Head,Divorced,Male,Unemployed,None,Christian
26,Virgocrack Road,Anne,Burton,24,Daughter,Divorced,Female,Scientific laboratory technician,None,Christian
26,Virgocrack Road,Stewart,Burton,18,Son,Divorced,Male,Student,None,None
27,Virgocrack Road,Joyce,Gilbert,70,Head,Married,Female,Retired Graphic designer,None,Christian
27,Virgocrack Road,Steven,Gilbert,73,Husband,Married,Male,Retired Building services engineer,None,Christian
27,Virgocrack Road,Angela,Gilbert,32,Daughter,Divorced,Female,Higher education lecturer,None,None
28,Virgocrack Road,Aimee,Elliott,34,Head,Married,Female,Operational investment banker,None,Sikh
28,Virgocrack Road,Elliott,Elliott,39,Husband,Married,Male,"Engineer, automotive",None,Sikh
28,Virgocrack Road,Josephine,Elliott,3,Daughter,NA,Female,Child,None,NA
28,Virgocrack Road,Darren,Murphy,35,Lodger,Widowed,Male,Geochemist,None,Catholic
28,Virgocrack Road,Kenneth,Smith,43,Lodger,Single,Male,"Nurse, learning disability",None,Christian
28,Virgocrack Road,Natasha,Martin,36,Lodger,Divorced,Female,Press photographer,None,None
29,Virgocrack Road,Rita,West,29,Head,Married,Female,"Production assistant, radio",None,None
29,Virgocrack Road,Bryan,West,31,Husband,Married,Male,Mechanical engineer,None,None
29,Virgocrack Road,Elliot,West,0,Son,NA,Male,Child,None,NA
29,Virgocrack Road,Chelsea,West,0,Daughter,NA,Female,Child,None,NA
30,Virgocrack Road,Samantha,Hopkins,49,Head,Married,Female,Analytical chemist,None,Christian
30,Virgocrack Road,Ryan,Hopkins,51,Husband,Married,Male,Audiological scientist,None,Christian
30,Virgocrack Road,Denise,Hopkins,18,Daughter,Divorced,Female,Student,None,Christian
30,Virgocrack Road,Hugh,Hopkins,11,Son,NA,Male,Student,None,NA
31,Virgocrack Road,Hayley,Ellis,63,Head,Divorced,Female,Automotive engineer,None,Muslim
31,Virgocrack Road,Jeffrey,Ellis,38,Son,Single,Male,Archivist,None,Muslim
31,Virgocrack Road,Francis,Ellis,30,Son,Single,Male,Textile designer,None,None
31,Virgocrack Road,Josephine,Ellis,28,Daughter,Single,Female,Chief Strategy Officer,None,Muslim
32,Virgocrack Road,Janice,Jones,42,Head,Divorced,Female,"Nurse, adult",None,Christian
32,Virgocrack Road,Lewis,Jones,22,Son,Divorced,Male,University Student,None,Christian
32,Virgocrack Road,Zoe,Jones,20,Daughter,Widowed,Female,University Student,None,Christian
32,Virgocrack Road,Maria,Jones,17,Daughter,NA,Female,Student,None,NA
32,Virgocrack Road,Graham,Jones,16,Son,NA,Male,Student,None,NA
33,Virgocrack Road,Liam,Bennett,21,Head,Single,Male,University Student,None,Methodist
33,Virgocrack Road,Jacqueline,Hewitt,21,None,Single,Female,University Student,None,None
33,Virgocrack Road,Philip,Chadwick,40,None,Single,Male,Environmental consultant,None,None
33,Virgocrack Road,Alison,Kennedy,40,None,Single,Female,Quality manager,None,Catholic
34,Virgocrack Road,Carly,North,53,Head,Married,Female,Adult guidance worker,None,Christian
34,Virgocrack Road,Peter,North,55,Husband,Married,Male,Unemployed,None,Christian
34,Virgocrack Road,Diana,North,16,Daughter,NA,Female,Student,None,NA
34,Virgocrack Road,Louis,North,15,Son,NA,Male,Student,None,NA
34,Virgocrack Road,Katie,North,7,Daughter,NA,Female,Student,None,NA
34,Virgocrack Road,Samuel,North,3,Son,NA,Male,Child,None,NA
35,Virgocrack Road,Stewart,Baker,64,Head,Married,Male,Airline pilot,None,Christian
35,Virgocrack Road,Pauline,Baker,59,Wife,Married,Female,"Administrator, education",None,Christian
35,Virgocrack Road,Graeme,Baker,29,Son,Single,Male,Musician,None,Christian
35,Virgocrack Road,Kate,Baker,26,Daughter,Single,Female,Forensic psychologist,None,Christian
36,Virgocrack Road,Jennifer,Hughes,31,Head,Single,Female,"Scientist, research (medical)",None,Muslim
36,Virgocrack Road,Terry,Thompson,32,Partner,Single,Male,Careers information officer,None,Muslim
36,Virgocrack Road,Marie,Hughes,12,Daughter,NA,Female,Student,None,NA
36,Virgocrack Road,Bethany,Hughes,11,Daughter,NA,Female,Student,None,NA
37,Virgocrack Road,Rosie,Robson,30,Head,Single,Female,Regulatory affairs officer,None,None
38,Virgocrack Road,Rita,Sullivan,30,Head,Single,Female,Health visitor,None,None
38,Virgocrack Road,Reece,Sullivan,4,Son,NA,Male,Child,None,NA
39,Virgocrack Road,Jessica,Ross,20,Head,Single,Female,University Student,None,None
39,Virgocrack Road,Neil,Evans,18,None,Single,Male,University Student,None,Christian
39,Virgocrack Road,Victoria,Smith,21,None,Single,Female,University Student,None,None
39,Virgocrack Road,Clifford,Bray,18,None,Single,Male,University Student,None,None
39,Virgocrack Road,John,Anderson,18,None,Single,Male,University Student,None,None
40,Virgocrack Road,Emily,Kaur,68,Head,Married,Female,Retired Chiropractor,None,Methodist
40,Virgocrack Road,Edward,Kaur,75,Husband,Married,Male,"Retired Surveyor, insurance",None,Methodist
40,Virgocrack Road,Victoria,Kaur,29,Daughter,Single,Female,"Research officer, government",None,Methodist
40,Virgocrack Road,Connor,Kaur,25,Son,Single,Male,Magazine journalist,None,None
41,Virgocrack Road,Kenneth,Marshall,74,Head,Widowed,Male,Retired Electrical engineer,None,Christian
1,Sandy Drive,Nicola,Macdonald,48,Head,Divorced,Female,Unemployed,None,Catholic
1,Sandy Drive,Louis,Macdonald,14,Son,NA,Male,Student,None,NA
1,Sandy Drive,William,Macdonald,14,Son,NA,Male,Student,None,NA
2,Sandy Drive,Elizabeth,Harding,26,Head,Single,Female,Translator,None,None
2,Sandy Drive,Sam,Goodwin,28,Partner,Single,Male,Sport and exercise psychologist,None,None
2,Sandy Drive,Hayley,Harding,5,Daughter,NA,Female,Student,None,NA
2,Sandy Drive,Leah,Jones-Harding,1,Daughter,NA,Female,Child,None,NA
3,Sandy Drive,Sheila,Mason,47,Head,Widowed,Female,Unemployed,None,Catholic
3,Sandy Drive,Rachael,Mason,11,Daughter,NA,Female,Student,None,NA
3,Sandy Drive,Mitchell,Mason,8,Son,NA,Male,Student,None,NA
4,Sandy Drive,Dawn,Reynolds,32,Head,Divorced,Female,Unemployed,None,Methodist
4,Sandy Drive,Nicola,Reynolds,13,Daughter,NA,Female,Student,None,NA
4,Sandy Drive,Roger,Reynolds,9,Son,NA,Male,Student,None,NA
5,Sandy Drive,Janice,Hodgson,68,Head,Married,Female,"Retired Engineer, biomedical",None,Methodist
5,Sandy Drive,Graeme,Hodgson,72,Husband,Married,Male,Retired Animal technologist,None,Methodist
6,Sandy Drive,Eric,Yates,18,Head,Single,Male,Student,None,NA
6,Sandy Drive,Denise,Sanderson,47,None,Single,Female,"Surveyor, land/geomatics",None,Catholic
6,Sandy Drive,Kieran,Morris,45,None,Single,Male,Information officer,None,Methodist
6,Sandy Drive,Jenna,Clarke,50,None,Single,Female,Unemployed,None,Methodist
6,Sandy Drive,James,McKenzie,63,None,Divorced,Male,Web designer,None,Christian
7,Sandy Drive,Kerry,Morris,58,Head,Single,Female,"Engineer, electronics",None,Methodist
7,Sandy Drive,Amanda,Morris,26,Daughter,Single,Female,Higher education lecturer,None,None
7,Sandy Drive,Shannon,Morris,25,Daughter,Single,Female,Broadcast engineer,None,Methodist
8,Sandy Drive,Kenneth,Watson,81,Head,Married,Male,Retired Insurance underwriter,None,Christian
8,Sandy Drive,Rachael,Watson,79,Wife,Married,Female,Retired Psychiatrist,None,Christian
8,Sandy Drive,Carolyn,Spencer,9,Granddaughter,NA,Female,Student,None,NA
9,Sandy Drive,Marion,Vaughan,39,Head,Single,Female,Unemployed,None,Methodist
9,Sandy Drive,Annette,Vaughan,0,Daughter,NA,Female,Child,None,NA
9,Sandy Drive,Carly,Turner,43,Lodger,Single,Female,English as a second language teacher,None,None
10,Sandy Drive,Sarah,Fraser,48,Head,Divorced,Female,Unemployed,None,Catholic
10,Sandy Drive,Josh,Fraser,10,Son,NA,Male,Student,None,NA
10,Sandy Drive,Jessica,Fraser,8,Daughter,NA,Female,Student,None,NA
11,Sandy Drive,Bruce,Byrne,24,Head,Single,Male,"Engineer, materials",None,Christian
11,Sandy Drive,Patricia,Johnson,31,None,Single,Female,Unemployed,None,Catholic
11,Sandy Drive,Marion,Morris,49,None,Single,Female,Exhibition designer,None,None
11,Sandy Drive,Geraldine,Middleton,24,None,Single,Female,Unemployed,None,None
12,Sandy Drive,Daniel,Burton,38,Head,Married,Male,Science writer,None,Christian
12,Sandy Drive,Natalie,Burton,36,Wife,Married,Female,IT technical support officer,None,None
12,Sandy Drive,Ashleigh,Burton,3,Daughter,NA,Female,Child,None,NA
12,Sandy Drive,Mathew,Burton,0,Son,NA,Male,Child,None,NA
13,Sandy Drive,Aimee,Akhtar,36,Head,Married,Female,Race relations officer,None,None
13,Sandy Drive,Leonard,Akhtar,37,Husband,Married,Male,Graphic designer,None,None
13,Sandy Drive,Albert,Akhtar,14,Son,NA,Male,Student,None,NA
13,Sandy Drive,Jill,Akhtar,9,Daughter,NA,Female,Student,None,NA
14,Sandy Drive,Mandy,Fry,35,Head,Single,Female,Emergency planning/management officer,None,Catholic
14,Sandy Drive,Raymond,Barnett,36,Partner,Single,Male,Leisure centre manager,None,Catholic
14,Sandy Drive,Annette,Fry,10,Daughter,NA,Female,Student,None,NA
14,Sandy Drive,Jake,Fry,7,Son,NA,Male,Student,None,NA
15,Sandy Drive,Sheila,Charlton-Williams,34,Head,Divorced,Female,Unemployed,None,None
15,Sandy Drive,Clare,Charlton-Williams,8,Daughter,NA,Female,Student,None,NA
15,Sandy Drive,Hayley,Charlton-Williams,4,Daughter,NA,Female,Child,None,NA
16,Sandy Drive,Rosemary,Pearce,53,Head,Married,Female,"Scientist, forensic",None,Christian
16,Sandy Drive,Lewis,Pearce,57,Husband,Married,Male,Claims inspector/assessor,None,Christian
16,Sandy Drive,Gavin,Pearce,14,Son,NA,Male,Student,None,NA
17,Sandy Drive,Bruce,Barry,61,Head,Single,Male,Market researcher,None,None
17,Sandy Drive,Joanna,Barry,32,Daughter,Single,Female,"Scientist, marine",None,None
17,Sandy Drive,Norman,Barry,30,Son,Single,Male,"Surveyor, mining",None,None
18,Sandy Drive,Eileen,Jarvis,37,Head,Married,Female,General practice doctor,None,None
18,Sandy Drive,Scott,Jarvis,41,Husband,Married,Male,Administrator,None,None
18,Sandy Drive,Gareth,Jarvis,7,Son,NA,Male,Student,None,NA
18,Sandy Drive,Sharon,Jarvis,2,Daughter,NA,Female,Child,None,NA
19,Sandy Drive,Hollie,Page,47,Head,Single,Female,Intelligence analyst,None,None
19,Sandy Drive,Alexander,Stephens,47,Partner,Single,Male,Unemployed,None,None
19,Sandy Drive,Rhys,Page,15,Son,NA,Male,Student,None,NA
20,Sandy Drive,Adam,Reeves,56,Head,Single,Male,Financial trader,None,None
20,Sandy Drive,Paula,Morton,54,Partner,Single,Female,Textile designer,None,None
21,Sandy Drive,Andrea,Murphy,30,Head,Married,Female,Unemployed,Physical Disability,None
21,Sandy Drive,Philip,Murphy,34,Husband,Married,Male,"Teacher, music",None,None
21,Sandy Drive,Christian,Murphy,13,Son,NA,Male,Student,Physical Disability,NA
21,Sandy Drive,Jack,Murphy,10,Son,NA,Male,Student,None,NA
22,Sandy Drive,Patrick,Smith,39,Head,Single,Male,"Surveyor, insurance",None,Christian
22,Sandy Drive,John,White,19,None,Single,Male,University Student,None,None
22,Sandy Drive,Brett,Willis,57,None,Single,Male,Lexicographer,None,Christian
23,Sandy Drive,Laura,Burke,47,Head,Married,Female,"Engineer, agricultural",None,None
23,Sandy Drive,Joel,Burke,57,Husband,Married,Male,Scientific laboratory technician,None,None
23,Sandy Drive,Julie,Simpson-Burke,14,Daughter,NA,Female,Student,None,NA
24,Sandy Drive,Eleanor,Barnes,61,Head,Married,Female,"Engineer, technical sales",None,Christian
24,Sandy Drive,Charlie,Barnes,64,Husband,Married,Male,Stage manager,None,Christian
24,Sandy Drive,Antony,Barnes,17,Grandson,NA,Male,Student,None,NA
25,Sandy Drive,Gail,James,40,Head,Divorced,Female,Unemployed,None,None
25,Sandy Drive,Lee,James,9,Son,NA,Male,Student,None,NA
25,Sandy Drive,Bryan,James,5,Son,NA,Male,Student,None,NA
25,Sandy Drive,Brenda,James,1,Daughter,NA,Female,Child,None,NA
26,Sandy Drive,Eleanor,Singh-Bennett,23,Head,Single,Female,Location manager,None,None
26,Sandy Drive,Emily,Singh-Bennett,2,Daughter,NA,Female,Child,None,NA
26,Sandy Drive,Roy,Lloyd,59,Lodger,Single,Male,"Engineer, electronics",None,Christian
26,Sandy Drive,Mary,Leonard,32,Visitor,Single,Female,Mechanical engineer,None,None
26,Sandy Drive,Natasha,Reynolds,36,Lodger,Single,Female,Magazine features editor,None,Christian
27,Sandy Drive,Grace,Barry,53,Head,Married,Female,"Buyer, retail",None,Christian
27,Sandy Drive,Mathew,Barry,52,Husband,Married,Male,Heritage manager,None,None
27,Sandy Drive,Reece,Barry,19,Son,Divorced,Male,University Student,None,Christian
27,Sandy Drive,Harry,Barry,15,Son,NA,Male,Student,None,NA
28,Sandy Drive,Samantha,Evans,26,Head,Single,Female,Arts development officer,None,Methodist
28,Sandy Drive,Tracey,Moore,48,None,Single,Female,Ergonomist,None,Christian
28,Sandy Drive,Vanessa,Hart,18,None,Single,Female,Student,None,NA
28,Sandy Drive,Lesley,Lewis,45,None,Single,Female,Water engineer,None,Christian
29,Sandy Drive,Lynda,Connolly,70,Head,Married,Female,Retired Diagnostic radiographer,None,None
29,Sandy Drive,Jeremy,Connolly,75,Husband,Married,Male,Retired Private music teacher,None,None
29,Sandy Drive,George,Connolly,26,Son,Single,Male,Amenity horticulturist,None,None
29,Sandy Drive,Malcolm,Connolly,25,Son,Single,Male,Personal assistant,None,None
30,Sandy Drive,Emily,Chadwick,46,Head,Married,Female,Therapeutic radiographer,None,None
30,Sandy Drive,Josh,Chadwick,49,Husband,Married,Male,Comptroller,None,None
30,Sandy Drive,Linda,Chadwick,12,Daughter,NA,Female,Student,None,NA
31,Sandy Drive,Catherine,Parsons,40,Head,Divorced,Female,"Scientist, forensic",None,None
31,Sandy Drive,Marilyn,Parsons,9,Daughter,NA,Female,Student,None,NA
31,Sandy Drive,Jake,Parsons,7,Son,NA,Male,Student,None,NA
32,Sandy Drive,Patricia,West,39,Head,Single,Female,Unemployed,None,None
32,Sandy Drive,Bruce,West,20,Son,Single,Male,University Student,None,None
32,Sandy Drive,Lucy,West,16,Daughter,NA,Female,Student,None,NA
33,Sandy Drive,Linda,Stanley,44,Head,Single,Female,"Scientist, marine",None,None
33,Sandy Drive,Roy,Watkins,48,Partner,Single,Male,Public affairs consultant,None,None
33,Sandy Drive,Carolyn,Stanley,14,Daughter,NA,Female,Student,None,NA
34,Sandy Drive,Nicola,Harris,40,Head,Single,Female,"Engineer, civil (consulting)",None,None
34,Sandy Drive,Sian,Fisher,28,None,Single,Female,Interior and spatial designer,None,None
34,Sandy Drive,Bethany,Webb,49,None,Single,Female,Systems developer,None,None
34,Sandy Drive,Iain,Adams,30,None,Single,Male,English as a second language teacher,None,None
34,Sandy Drive,Trevor,Booth,59,None,Single,Male,Unemployed,None,None
35,Sandy Drive,Charlotte,Morris,29,Head,Divorced,Female,International aid/development worker,None,None
35,Sandy Drive,Leslie,Morris,0,Son,NA,Male,Child,None,NA
35,Sandy Drive,Kerry,Owen,55,Lodger,Widowed,Female,"Designer, fashion/clothing",None,Catholic
35,Sandy Drive,Vanessa,James,23,Sibling,Single,Female,"Surveyor, building",None,Christian
36,Sandy Drive,Chelsea,Wilson,44,Head,Married,Female,"Merchandiser, retail",None,Catholic
36,Sandy Drive,Ronald,Wilson,44,Husband,Married,Male,Soil scientist,None,Catholic
36,Sandy Drive,Charles,Wilson,16,Son,NA,Male,Student,None,NA
37,Sandy Drive,Denis,Francis-Wilkinson,69,Head,Married,Male,Retired Horticultural consultant,None,None
37,Sandy Drive,Susan,Francis-Wilkinson,68,Wife,Married,Female,Retired Publishing copy,None,None
37,Sandy Drive,Clare,Francis-Wilkinson,15,Granddaughter,NA,Female,Student,None,NA
37,Sandy Drive,Ricky,Francis-Wilkinson,13,Grandson,NA,Male,Student,None,NA
38,Sandy Drive,Jennifer,Barrett,40,Head,Divorced,Female,Unemployed,None,Catholic
38,Sandy Drive,Gerard,Barrett,7,Son,NA,Male,Student,None,NA
39,Sandy Drive,Cheryl,Holt,42,Head,Married,Female,Archivist,None,Christian
39,Sandy Drive,Billy,Holt,41,Husband,Married,Male,Prison officer,None,Christian
39,Sandy Drive,Joshua,Holt,10,Nephew,NA,Male,Student,None,NA
40,Sandy Drive,Lesley,Hunt,47,Head,Single,Female,"Nurse, mental health",None,Christian
41,Sandy Drive,Carol,Khan,59,Head,Married,Female,Building surveyor,None,Christian
41,Sandy Drive,Josh,Khan,61,Husband,Married,Male,"Engineer, site",None,Christian
41,Sandy Drive,Sarah,Khan,28,Daughter,Single,Female,Estate manager/land agent,None,None
42,Sandy Drive,Joan,Roberts,49,Head,Single,Female,Bonds trader,None,None
42,Sandy Drive,Andrew,Watson,49,Partner,Single,Male,"Exhibitions officer, museum/gallery",None,None
42,Sandy Drive,Jamie,Roberts,9,Son,NA,Male,Student,None,NA
43,Sandy Drive,Rachel,Herbert,49,Head,Single,Female,Medical illustrator,None,Christian
43,Sandy Drive,Derek,Herbert,53,Partner,Single,Male,Automotive engineer,None,Christian
43,Sandy Drive,Max,Herbert,17,Son,NA,Male,Student,None,NA
44,Sandy Drive,David,Nash,40,Head,Married,Male,Research scientist (maths),None,Catholic
44,Sandy Drive,Eleanor,Nash,33,Wife,Married,Female,Unemployed,None,Catholic
44,Sandy Drive,Gail,Freeman,47,Lodger,Single,Female,"Clinical scientist, histocompatibility and immunogenetics",None,None
45,Sandy Drive,Jenna,Reed,41,Head,Married,Female,"Development worker, international aid",None,None
45,Sandy Drive,Kevin,Reed,42,Husband,Married,Male,"Therapist, sports",None,None
45,Sandy Drive,Julian,Reed,15,Son,NA,Male,Student,None,NA
46,Sandy Drive,Lynda,Rogers,48,Head,Married,Female,Information systems manager,None,Christian
46,Sandy Drive,Daniel,Rogers,46,Husband,Married,Male,Armed forces operational officer,None,Christian
46,Sandy Drive,Denise,Rogers,26,Daughter,Single,Female,"Buyer, retail",None,None
46,Sandy Drive,Amanda,Rogers,24,Daughter,Single,Female,Unemployed,None,Christian
46,Sandy Drive,Karl,Rogers,9,Son,NA,Male,Student,None,NA
47,Sandy Drive,Danielle,Stone,38,Head,Single,Female,Unemployed,None,Catholic
47,Sandy Drive,Clifford,Ball,40,Partner,Single,Male,Contracting civil engineer,None,Catholic
47,Sandy Drive,Linda,Stone,14,Daughter,NA,Female,Student,None,NA
48,Sandy Drive,Leon,Hill,38,Head,Married,Male,"Designer, fashion/clothing",None,None
48,Sandy Drive,Jade,Hill,37,Wife,Married,Female,"Engineer, communications",None,None
49,Sandy Drive,Abbie,Baker,35,Head,Married,Female,Research scientist (life sciences),None,Christian
49,Sandy Drive,Terence,Baker,38,Husband,Married,Male,Commercial horticulturist,None,Christian
49,Sandy Drive,Pamela,Baker,5,Daughter,NA,Female,Student,None,NA
50,Sandy Drive,Barbara,Murray,62,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,None
50,Sandy Drive,Patrick,Murray,65,Husband,Married,Male,Physiological scientist,None,None
50,Sandy Drive,Margaret,Murray,29,Daughter,Single,Female,"Accountant, chartered",None,None
50,Sandy Drive,Hayley,Murray,29,Daughter,Single,Female,Public house manager,None,None
50,Sandy Drive,Annette,Murray,6,Daughter,NA,Female,Student,None,NA
51,Sandy Drive,Hayley,Adams,32,Head,Married,Female,Meteorologist,None,Christian
51,Sandy Drive,Simon,Adams,41,Husband,Married,Male,Graphic designer,None,Catholic
51,Sandy Drive,Deborah,Adams,1,Daughter,NA,Female,Child,None,NA
52,Sandy Drive,Natasha,Hilton,52,Head,Single,Female,Adult nurse,None,None
52,Sandy Drive,Suzanne,Hilton,13,Daughter,NA,Female,Student,None,NA
52,Sandy Drive,Rhys,Hilton,9,Son,NA,Male,Student,None,NA
53,Sandy Drive,Jordan,Robinson,46,Head,Single,Male,Unemployed,None,Methodist
53,Sandy Drive,Chelsea,Robinson,22,Daughter,Single,Female,University Student,None,Methodist
53,Sandy Drive,Georgia,Robinson,16,Daughter,NA,Female,Student,None,NA
